Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2026-03-12,101.70,111.80,101.70,111.80,,9.93,,16468.00
2026-03-15,110.70,122.90,110.70,122.90,,9.93,,16688.00
2026-03-16,121.70,135.10,121.70,135.10,,9.93,,19828.00
2026-03-17,137.80,148.60,137.80,148.60,,9.99,,13107.00
2026-03-19,147.00,163.40,147.00,163.40,,9.96,,30506.00
2026-03-22,166.50,179.70,166.50,179.70,,9.98,,30506.00
2026-03-23,176.40,197.60,176.40,197.60,,9.96,,48663.00
2026-03-24,195.70,217.30,195.70,217.30,,9.97,,42759.00
2026-03-25,215.00,239.00,215.00,239.00,,9.99,,63505.00
2026-03-26,237.30,262.90,237.30,262.90,,10,,53562.20
2026-03-29,264.60,289.10,264.60,289.10,,9.97,,117349.00
2026-03-30,289.10,318.00,289.10,318.00,,10,,147731.00
2026-03-31,316.00,349.80,316.00,349.80,,10,,128366.00
2026-04-01,356.00,384.70,356.00,384.70,,9.98,,172111.00
2026-04-02,381.70,423.10,381.70,423.10,,9.98,,247484.00
2026-04-05,423.10,465.40,423.10,465.40,,10,,444682.00
2026-04-06,474.70,511.90,474.70,511.90,,9.99,,668929.00
2026-04-07,513.70,563.00,513.70,563.00,,9.98,,611752.00
2026-04-08,574.20,619.30,574.20,619.30,,10,,754437.00
2026-04-09,610.70,681.20,610.70,681.20,,10,,1625715.00
2026-04-10,694.80,749.30,694.80,749.30,,10,,1602162.00
2026-04-13,764.20,824.20,764.20,824.20,,10,,3424796.00
2026-04-15,840.60,906.60,840.60,906.60,,10,,3405876.00
2026-04-16,924.70,997.20,924.70,997.20,,9.99,,5233520.00
2026-04-17,1017.10,1096.90,1017.10,1096.90,,10,,12982146.00
2026-04-20,1151.70,1261.40,1151.70,1261.40,,15,,360159585.90
2026-04-21,1323.00,1450.60,1286.00,1386.00,,9.88,,222342401.20
2026-04-22,1400.00,1404.00,1208.10,1237.00,,-10.75,,285967762.70
2026-04-23,1237.00,1237.00,1142.00,1180.00,,-4.61,,221559006.30
2026-04-24,1180.00,1225.00,1111.00,1195.00,,1.27,,128612529.40
2026-04-27,1195.00,1225.00,1148.00,1148.00,,-3.93,,124011852.60
2026-04-28,1191.00,1191.00,1038.00,1060.00,,-7.67,,206007502.00
2026-04-29,1060.00,1065.20,995.10,1005.00,,-5.19,,120424348.70
2026-04-30,975.10,1045.00,956.60,1024.00,,1.89,,94168284.90
2026-05-04,994.00,1020.00,980.00,1000.00,,-2.34,,51137885.80
2026-05-05,1000.00,1019.00,972.00,994.00,,-0.6,,58737483.40
