Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2026-02-16,300.00,330.00,300.00,330.00,,10,,58210.00
2026-02-17,333.30,363.00,333.30,363.00,,10,,42451.00
2026-02-22,363.00,399.30,363.00,399.30,,10,,66006.50
2026-02-23,395.40,439.20,395.40,439.20,,9.99,,107946.00
2026-02-24,447.90,483.10,447.90,483.10,,10,,94698.00
2026-02-25,478.30,531.40,478.30,531.40,,10,,194622.00
2026-02-26,526.20,584.50,526.20,584.50,,9.99,,272832.00
2026-03-01,578.80,642.90,578.80,642.90,,9.99,,441531.00
2026-03-03,635.80,707.10,635.80,707.10,,9.99,,535070.00
2026-03-09,698.90,712.80,698.90,712.80,,0.81,,14117.00
2026-03-10,727.00,784.00,727.00,784.00,,9.99,,1524552.00
2026-03-11,780.00,862.40,780.00,862.40,,10,,1291056.00
2026-03-12,879.60,948.60,879.60,948.60,,10,,2161114.00
2026-03-15,950.00,1043.40,950.00,1043.40,,9.99,,5105254.00
2026-03-16,1064.20,1147.70,1064.20,1147.70,,10,,7817750.00
2026-03-17,1170.60,1262.40,1170.60,1262.40,,9.99,,7618055.00
2026-03-19,1262.00,1388.60,1262.00,1388.60,,10,,17572392.00
2026-03-22,1416.30,1527.40,1416.30,1527.40,,10,,17572392.00
2026-03-23,1557.90,1680.10,1557.90,1680.10,,10,,295286577.00
2026-03-24,1713.70,1848.10,1713.70,1848.10,,10,,61694940.00
2026-03-25,1885.00,2000.00,1715.00,1719.00,,-6.99,,271828775.50
2026-03-26,1700.00,1708.00,1600.00,1683.00,,-2.09,,187048327.80
2026-03-29,1683.00,1700.00,1618.00,1624.00,,-3.51,,106274893.70
2026-03-30,1624.00,1630.00,1574.00,1583.10,,-2.52,,111248825.70
2026-03-31,1583.10,1638.00,1480.00,1620.00,,2.33,,123846011.80
2026-04-01,1650.00,1650.00,1535.00,1536.00,,-5.19,,51152909.30
2026-04-02,1507.00,1600.00,1483.00,1540.00,,0.26,,51201972.30
2026-04-05,1540.00,1550.00,1432.00,1435.00,,-6.82,,77648107.00
2026-04-06,1415.00,1500.00,1372.00,1475.00,,2.79,,55239404.70
2026-04-07,1446.00,1503.00,1446.00,1451.00,,-1.63,,28472372.60
2026-04-08,1451.00,1550.00,1451.00,1530.10,,5.45,,65351019.90
2026-04-09,1510.00,1570.00,1510.00,1527.00,,-0.2,,48785740.10
2026-04-10,1527.00,1632.00,1495.00,1589.00,,4.06,,72248283.30
2026-04-13,1620.70,1699.00,1559.20,1610.00,,1.32,,95151687.90
2026-04-15,1600.00,1620.00,1555.00,1575.00,,-2.17,,49355448.70
2026-04-16,1561.00,1562.00,1503.40,1517.00,,-3.68,,48390139.90
2026-04-17,1510.00,1550.00,1470.00,1538.00,,1.38,,61129888.40
2026-04-20,1530.00,1540.00,1495.00,1518.00,,-1.3,,40539455.70
2026-04-21,1530.00,1630.00,1501.00,1570.00,,3.43,,117952031.40
2026-04-22,1560.00,1581.00,1516.00,1540.00,,-1.91,,53735297.50
2026-04-23,1465.00,1560.00,1465.00,1506.00,,-2.21,,39468610.50
2026-04-24,1485.10,1510.00,1465.00,1499.00,,-0.46,,42466467.10
2026-04-27,1499.00,1528.00,1475.00,1489.60,,-0.63,,42522147.20
2026-04-28,1464.00,1505.00,1428.00,1429.00,,-4.07,,63080802.80
2026-04-29,1429.00,1410.00,1355.00,1366.00,,-4.41,,51384151.80
2026-04-30,1366.00,1369.90,1326.20,1349.00,,-1.24,,44266883.50
